SA2,Buddhism_P,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_P,Christianity_Brethren_P,Christianity_Catholic_P,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_P,Christianity_Christian_nfd_P,Christianity_Othr_Christian_P,Hinduism_P,Islam_P,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_P,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_P,Religious_affiliation_ns_P,tot_p
1191,194,688,0,63,0,2059,7,544,31,9,38,32,32,77,115,3,13,204,223,6,210,101,292,0,53,47,2813,7,16,814,8691
1193,249,2144,0,153,0,5336,51,835,62,24,75,29,37,90,333,14,0,564,334,7,174,109,124,0,39,50,7197,42,16,1653,19741
1194,329,2829,0,100,0,4102,9,877,10,9,33,24,22,63,361,3,3,679,217,0,783,154,848,0,48,42,6455,53,3,1931,19987
1195,635,2187,0,162,0,4738,10,1624,36,6,62,15,51,71,327,6,15,591,273,6,433,193,547,0,47,46,7353,63,30,1705,21232
1196,326,733,0,114,0,2968,0,753,0,5,22,22,14,81,192,35,3,241,257,0,199,216,3,0,30,37,2841,15,5,734,9846
1197,223,2045,0,298,60,5852,26,714,20,28,83,29,70,179,392,32,3,623,458,9,143,128,8,0,47,57,7192,55,22,1437,20233
1198,245,1304,0,170,0,4264,10,513,23,18,80,21,41,75,269,18,4,456,281,3,266,231,3,0,32,30,5003,21,25,1264,14670
1199,309,960,0,195,0,2858,9,538,25,25,12,35,18,72,159,21,11,286,258,3,302,1510,6,0,57,48,4482,37,24,1804,14064
1200,227,834,0,78,0,3021,6,682,3,10,36,24,12,57,109,3,0,292,206,0,240,121,9,0,20,46,4373,37,12,883,11341
1201,118,742,0,41,0,2349,7,497,0,0,36,15,3,36,92,7,0,264,150,3,88,53,19,0,6,14,2514,12,3,588,7657
1202,165,1689,0,196,25,4181,41,396,17,11,77,6,23,162,305,24,7,517,254,8,49,88,9,0,16,26,6385,43,34,1225,15979
